Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
IRR_0,7.32E-01,0.690340362,9.09E-01,1.06E+00
IRR_1,7.41E-01,0.711599004,9.14E-01,1.08E+00
IRY,7.51E-01,0.724038243,9.76E-01,1.04E+00
ISV_0,6.63E-01,0.62453776,9.67E-01,1.08E+00
ISV_1,6.43E-01,0.612290034,9.81E-01,1.02E+00
ITE_0,6.77E-01,0.637503104,8.56E-01,1.06E+00
ITE_1,6.63E-01,0.647218022,8.66E-01,1.02E+00
ITG,6.46E-01,0.623688943,9.57E-01,1.07E+00
ITH_0,6.12E-01,0.58203951,7.87E-01,1.04E+00
ITH_1,6.19E-01,0.610011862,7.84E-01,1.060228826
ITR_0,6.15E-01,0.594781507,8.16E-01,1.03E+00
ITR_1,6.32E-01,0.610039337,8.03E-01,1.03E+00
ITT_0,6.90E-01,0.66807318,7.95E-01,1.06E+00
ITV_0,7.58E-01,0.847674466,9.30E-01,1.09E+00
ITW_0,0.892895338,0.847674466,0.904342545,1.088176876
ITW_1,9.70E-01,0.909746945,1.38E+00,1.10E+00
IWR_0,0.657303349,0.608459049,0.915695893,1.080260197
IWR_1,6.47E-01,0.615905972,9.08E-01,1.04E+00
IWS_0,6.74E-01,0.661303432,9.79E-01,1.03E+00
IWS_1,6.95E-01,0.659339814,9.92E-01,1.04E+00
IWV_0,7.07E-01,0.69135116,9.23E-01,1.03E+00
IWV_1,7.14E-01,0.69135116,9.59E-01,1.04E+00
IWW_0,6.31E-01,0.581483064,8.95E-01,1.11E+00
IWW_1,6.33E-01,0.596384359,8.74E-01,1.07E+00
JBW_0,1.425165249,1.166740934,0.914935472,1.199120734
JOZ_0,0.688018812,0.58396966,0.281525342,1.223019488
JRY_0,8.10E-01,0.707995659,8.45E-01,1.16E+00
JSN_0,0.590683707,0.560854217,0.504847506,1.154028908
JSN_1,0.573144472,0.511244362,0.454270016,1.052283183
JSR_0,7.24E-01,0.682182826,8.85E-01,1.06E+00
JST_0,7.18E-01,0.722293599,6.93E-01,1.09E+00
