NAME,H2S_Heat,CO2_Heat,CH4_Heat,LCD,PLD,LFPD,Density,AVSA,AGSA,VF,PV,H2S_CH4
JBW_0,-17.57840803,-23.53484938,-17.68142005,3.85599,3.32384,3.63501,1.87375,210.092,112.124,0.3754,0.200347,1.166740934
JOZ_0,-17.52435359,-21.04527164,-19.44851302,4.42457,3.0963,4.42457,1.63277,0,0,0.4472,0.27389,0.58396966
JRY_0,-18.51322768,-24.45389276,-19.91068465,4.10173,3.72442,4.10173,1.84323,570.826,309.688,0.3856,0.209198,0.707995659
JSN_0,-19.11735567,-23.56597326,-21.44949952,4.53475,3.05523,4.52962,1.78306,0,0,0.427,0.239475,0.560854217
JSN_1,-23.06912385,-28.65740416,-25.67714559,4.96663,3.20989,4.95574,1.69865,0,0,0.487,0.286698,0.511244362
JSR_0,-11.69241575,-14.00155071,-13.06463214,7.43146,4.54246,7.43146,1.22554,2104.78,1717.44,0.6038,0.492683,0.682182826
JST_0,-15.37006933,-19.07128198,-17.18092661,4.94733,3.33236,4.94733,1.42752,1364.84,956.091,0.528,0.369871,0.722293599
KFI_0,-14.2197628,-17.51020654,-15.96615243,10.15744,3.63866,10.15744,1.49376,1161.14,777.327,0.5024,0.336331,0.637133172
KFI_1,-14.03980994,-17.20360937,-15.7764987,10.27143,3.61808,10.26803,1.47155,1163.92,790.949,0.5004,0.340049,0.633504459
LAU_0,-17.38670688,-21.19561741,-19.74474524,5.47479,3.66761,5.44104,1.79554,882.979,491.762,0.4098,0.228232,0.497004597
LAU_1,-15.79166558,-19.28448661,-17.89591458,5.46587,3.88589,5.46587,1.72014,884.564,514.238,0.4164,0.242073,0.51346166
LAU_2,-16.57711798,-20.18932408,-18.79149866,5.37025,3.67197,5.37025,1.76641,752.492,426,0.401,0.227014,0.498949491
LEV_0,-16.17819932,-19.874191,-18.30419526,6.38923,3.13253,6.20078,1.58908,0,0,0.492,0.309613,0.572138251
LEV_1,-15.30714612,-18.80435698,-17.30200818,6.54054,3.27345,6.54052,1.51949,0,0,0.4974,0.327347,0.57891935
LEV_2,-16.19993082,-19.94485132,-18.34054482,6.39796,3.22246,6.39796,1.59563,0,0,0.4888,0.306337,0.548736254
LOV_0,-20.00690716,-21.39344174,-22.60260648,4.26995,3.37722,3.75391,1.67665,616.161,367.495,0.4402,0.262547,0.699893562
LTA_0,-17.36236882,-19.05504928,-20.59532282,10.23827,3.81365,10.23827,1.41416,1259.04,890.304,0.5242,0.370678,0.618333993
LTA_1,-13.8514228,-16.31497028,-16.2069432,10.67106,3.77334,10.64715,1.2734,1277.29,1003.05,0.5612,0.440709,0.618333993
LTA_2,-14.07408169,-16.74497337,-16.42656847,10.64131,3.65721,10.64131,1.28198,1261.61,984.112,0.5602,0.436981,0.618333993
LTF_0,-17.75875392,-21.48642659,-20.41199483,7.75627,7.09551,7.71704,1.78487,457.594,256.373,0.4422,0.247749,0.497617409
LTF_1,-16.95472708,-20.65601828,-19.45497864,7.60106,6.88958,7.60106,1.65111,451.552,273.483,0.4404,0.266729,0.519503223
LTL_0,-13.07680613,-15.36752164,-14.59976297,9.61198,7.09968,9.61198,1.81628,868.164,477.989,0.4532,0.24952,0.652300282
LTL_1,-12.67603664,-14.86193032,-14.14013229,9.54863,7.0475,9.54863,1.60161,908.889,567.484,0.4572,0.285462,0.655531602
LTL_2,-12.80968305,-15.01989229,-14.31540145,9.34476,6.80032,9.34476,1.62902,890.368,546.567,0.444,0.272557,0.639737157
MAZ_0,-17.7750893,-21.53849671,-20.52495003,7.68968,7.10074,7.55124,1.95638,517.975,264.762,0.4528,0.231448,0.541207925
MAZ_1,-16.63144275,-20.28292112,-19.16762999,7.74295,7.04249,7.74295,1.60357,504.525,314.626,0.4588,0.286112,0.55739153
MEI_0,-13.49197146,-15.66032457,-15.12559257,7.66225,6.47433,7.66225,1.67031,1417.5,848.642,0.5202,0.311439,0.619179685
MEI_1,-13.1707838,-15.52185021,-14.69286841,7.84768,6.53397,7.84768,1.4239,1445.09,1014.88,0.5296,0.371935,0.614811774
MEL_0,-16.01478122,-19.19323835,-18.14274617,6.87178,4.78426,6.854,1.73204,1025.37,591.997,0.4208,0.24295,0.562931681
MEL_1,-16.91503061,-20.38584787,-19.17040734,6.30808,4.42951,6.30808,1.77359,992.337,559.508,0.4076,0.229816,0.528705775
MEL_2,-16.72465187,-20.10516424,-18.95597086,6.63953,4.77634,6.63953,1.77589,1014.78,571.42,0.411,0.231433,0.523765916
MER_0,-17.36819874,-19.641123,-19.2473092,6.24773,3.80047,6.24773,1.63365,715.938,438.243,0.4646,0.284393,0.613583367
