Name,10_H2S_CH4,50_H2S_CH4,10_CO2_CH4,50_CO2_CH4
ATT_1,6.62E-01,5.73E-01,5.32E-01,1.155355436
ATV_0,0.822227296,0.709468349,0.092497566,1.158934428
AVE,5.55E-01,5.06E-01,7.88E-01,1.097763663
AVL,5.70E-01,5.18E-01,7.68E-01,1.099421888
AWO_0,0.640097183,0.511028208,0.118838481,1.252567222
AWO_1,0.593882651,0.486086326,0.295445707,1.221763747
AWW_0,5.68E-01,5.89E-01,9.18E-01,0.96444087
BEA_0,6.40E-01,6.11E-01,9.59E-01,1.05E+00
BEA_1,6.38E-01,6.05E-01,9.44E-01,1.06E+00
BEA_B_1,6.43E-01,6.14E-01,9.50E-01,1.05E+00
BEC_0,6.26E-01,6.11E-01,9.70E-01,1.03E+00
BEC_2,6.50E-01,6.37E-01,9.71E-01,1.02E+00
BOF_0,0.54813815,0.486535383,0.543704326,1.126615183
BOG_0,6.51E-01,6.26E-01,8.42E-01,1.04E+00
BOG_1,6.52E-01,6.20E-01,8.34E-01,1.05E+00
BOZ_0,7.28E-01,6.49E-01,8.42E-01,1.12E+00
BPH_0,6.69E-01,6.42E-01,8.76E-01,1.04E+00
BRE_1,5.60E-01,4.58E-01,4.72E-01,1.22E+00
BSV_0,0.641832148,0.533586533,0.398646003,1.202864218
CAN_0,6.35E-01,6.47E-01,7.74E-01,9.81E-01
CAN_1,0.634062421,0.621623925,0.691248334,1.020009681
CDO_0,5.21E-01,4.57E-01,5.14E-01,1.140758143
CDO_1,0.505640723,0.404216916,0.410232352,1.250914305
CFI_0,7.11E-01,6.91E-01,9.77E-01,1.03E+00
CFI_1,6.97E-01,7.08E-01,1.01E+00,9.84E-01
CGF_0,0.493896806,0.396714357,0.343016331,1.24496832
CGS_0,5.79E-01,4.94E-01,7.21E-01,1.17E+00
CHA_0,6.36E-01,6.20E-01,8.79E-01,1.03E+00
CLO_0,6.95E-01,6.70E-01,9.14E-01,1.04E+00
