Name,Recovery_max,H2S purity,Is_CH4_raffinate
RSN_0,-1.0,0.5631244565468253,0
RTE_0,-1.0,0.6196136468822917,0
RTE_1,-1.0,0.6176339575249357,0
RTH_0,-1.0,0.5956353517150303,0
RTH_1,-1.0,0.6003286797120082,0
RWY_0,-1.0,0.5974655179853439,0
SAF_0,-1.0,0.6172785487816945,0
SAF_1,-1.0,0.6237918450001941,0
SAO_0,-1.0,0.6177499424565102,0
SAO_1,-1.0,0.6333074314340683,0
SAS_0,-1.0,0.6048782340074722,0
SAS_1,-1.0,0.6105654067310844,0
SAT_0,-1.0,0.6232053150843175,0
SAT_1,-1.0,0.6297416898843637,0
SAV_0,-1.0,0.6055154738645256,0
SBE_0,-1.0,0.6093831400358019,0
SBS_0,-1.0,0.6234440381984465,0
SBT_0,-1.0,0.6198286986286576,0
SEW_0,-1.0,0.609879535234795,0
SEW_1,-1.0,0.6226729243610934,0
SFE_0,-1.0,0.6149759046529857,0
SFE_1,-1.0,0.6076240585605476,0
SFF_0,-1.0,0.5956622970176894,0
SFF_1,-1.0,0.5967795431658902,0
SFG_0,-1.0,0.6196240029839091,0
SFG_1,-1.0,0.6164096401177364,0
SFH_0,-1.0,0.6099458804381854,0
SFH_1,-1.0,0.6105622553977809,0
SFN_0,-1.0,0.6207539426507297,0
SFN_1,-1.0,0.6125347473467629,0
SFO_0,-1.0,0.6219968202864867,0
SFS_0,-1.0,0.6195532816632563,0
SFS_1,-1.0,0.6181805924696193,0
SFW_0,-1.0,0.6238164048696859,0
SFW_1,-1.0,0.6254588837090349,0
SIV_0,-1.0,0.6182702709645531,0
SOF_0,-1.0,0.6087865652675496,0
SOR,-1.0,0.6106265960934181,0
SOS_0,-1.0,0.5772858730263334,0
SOV,-1.0,0.615488994917307,0
SSF_0,-1.0,0.6103325710172156,0
SSF_1,-1.0,0.6181198059952744,0
SSY_0,-1.0,0.6116678373190779,0
SSY_1,-1.0,0.6120634041972335,0
STF_0,-1.0,0.6091911770792406,0
STF_1,-1.0,0.6080566100551135,0
STI_0,-1.0,0.6202324030875124,0
STI_1,-1.0,0.6191553911343848,0
STI_2,-1.0,0.6196926081006794,0
STI_3,-1.0,0.6164317779484438,0
STO_0,-1.0,0.611366980411724,0
STO_1,-1.0,0.6103432939649912,0
STT_0,-1.0,0.607920043901498,0
STT_1,-1.0,0.6153053922547687,0
STW_0,-1.0,0.6088455416745118,0
SVR_0,-1.0,0.6174723969132996,0
SVR_1,-1.0,0.6198428650421726,0
SWY,-1.0,0.6170760525773213,0
SZR_0,-1.0,0.5695491878011575,0
SZR_1,-1.0,0.5702100043175984,0
TER_0,-1.0,0.615905651621357,0
TER_1,-1.0,0.6141204608865571,0
THO_0,-1.0,0.6186429450245596,0
TON_0,-1.0,0.6166584315754505,0
TON_1,-1.0,0.6027940682779893,0
TSC_0,-1.0,0.5605708870063932,0
TSC_1,-1.0,0.5761848406727821,0
TUN_0,-1.0,0.6168492878571823,0
TUN_1,-1.0,0.6160830980362659,0
UEI_0,-1.0,0.6160048050827773,0
UFI_0,-1.0,0.6258454785810045,0
UFI_1,-1.0,0.6226181426327242,0
UOS_0,-1.0,0.6090001429629248,0
UOV,-1.0,0.614423372980842,0
USI_0,-1.0,0.6154137029624653,0
UTL_0,-1.0,0.6212172843045063,0
UWY_0,-1.0,0.6174624938345977,0
VET_0,-1.0,0.6107302367806181,0
VET_1,-1.0,0.6082307411475963,0
VFI_0,-1.0,0.6069552865916295,0
VFI_1,-1.0,0.603778089867927,0
VNI_0,-1.0,0.597437807932722,0
VSV_0,0.24611934148573045,-1.0,1
WEI_0,0.45937652831199904,-1.0,1
WEN_0,-1.0,0.6194852981770325,0
YFI,-1.0,0.6210597369761913,0
YUG_0,-1.0,0.5589818270763052,0
ZON_0,-1.0,0.6524152975484616,0
ZON_1,-1.0,0.6413105711870105,0
