NAME,WC_H2S,WC_CO2
UFI_1,0.351283017,0.385211038
UOS_0,0.267246009,0.166556329
UOV,0.278987717,0.315100169
USI_0,0.356355173,0.387862984
UTL_0,0.383527853,0.434394487
UWY_0,0.327031215,0.317771078
VET_0,0.080616569,0.116760409
VET_1,0.096206501,0.109100511
VFI_0,0.364586084,0.422210554
VFI_1,0.403775809,0.4890784
VNI_0,0.188472823,0.054069087
VSV_0,0.147743788,0.138379053
WEI_0,0.123631835,0.095523184
WEN_0,0.333020782,0.225408511
YFI,0.402568593,0.267517618
YUG_0,0.198639864,0.188956711
ZON_0,0.095672858,0.155248
ZON_1,0.119464297,0.192756493
