NAME,H2S/CH4 selectivity
EAB-2,3.8538896197780725
EDI-0,0.49034699062418485
EDI-1,1.0998418654152387
EDI-2,0.7702037633828633
EEI,1.0390664877997406
EMT-0,1.0517340481949977
EMT-1,1.2032186589344012
EMT-2,1.5294092937773411
EON-0,1.1754583153571259
EON-1,3.0550579717721558
EPI-0,1.8948257671151627
EPI-1,3.933622595543372
ERI-0,1.0092521749134316
ERI-1,2.068461187706206
ESV-0,1.155064483601039
ESV-1,1.3099082301307443
ETL,1.5586265426408665
ETR-0,8.168683829581354
ETR-1,1.5427070309922852
EUO-0,1.5711864909801658
EUO-1,1.6777495148220976
EWS,0.8280987647794578
EZT-0,0.8823819502370317
FAR-0,0.6484648604097467
FAR-1,1.2239041609754207
FAU-0,1.0363741156245854
FAU-1,1.0800123510926827
FAU-2,1.3413737514323834
FAU-3,1.1007550118588894
FAU-4,1.2354516562782503
FAU-5,1.32591847248107
FAU-6,0.9061931926612453
FER-0,0.7834963777376392
FER-1,0.7877364383246546
FER-2,1.028369673386391
FRA-0,0.5488804076528456
FRA-1,1.106088894422406
GIS-0,1.2078919804736798
GIS-1,6.542275096336807
GIS-2,7.346132400297762
GIS-4,2.88215421020367
GIS-5,5.8505646787804455
GIS-6,3.3049483740711634
GIU-0,0.6958624549175767
GIU-1,1.3087163613022272
GME-0,0.8768880902399843
GME-1,2.4209472331650934
GON-0,0.8880704906482855
GON-1,2.096227415522344
GOO-0,1.365408946755896
GOO-1,1.9503997940907383
HEU-0,0.9506802329516996
HEU-1,1.4999028525972908
HEU-2,1.3088745343813208
IFO-0,1.0480111803300358
IFR-0,1.0239781709075622
IFR-1,1.6663478318259384
IFW,1.4242627986293992
IFY,1.9245525337274365
IHW-0,1.0777321295938518
IHW-1,1.4701891074478013
IMF-0,1.1040761741234093
IMF-1,1.301954992611061
IRN,1.3180903358629663
IRR-0,1.1036727948133003
IRR-1,1.7037186827412927
ISV-0,1.0816648659581527
ISV-1,1.145100621018823
ITE-0,1.4436090259487937
ITE-1,2.5750625046069824
ITG,1.2048538546221377
ITH-0,1.1745053431018952
ITH-1,3.4876275349001147
ITR-0,1.283954365519092
ITR-1,2.8504986063509374
ITT-0,1.1120055999730356
ITW-0,2.2931248428672033
ITW-1,5.528531093342657
IWR-0,1.11265344182257
IWR-1,3.9675520158922932
IWS-0,1.2991775866185722
IWS-1,1.6158370236146415
IWV-0,1.727496967089869
IWV-1,3.6878388810113916
IWW-0,0.9663555282716725
IWW-1,1.8534304587092933
JBW-0,9.578117554321874
JNT,1.960279544640039
JOZ-0,0.9648460834186582
JRY-0,1.4454114982160786
JSN-0,1.3225204397354393
JSR-0,1.2300932317023856
JST-0,3.512667308783797
JSW-0,1.0827308140919754
KFI-0,1.5269465933270308
KFI-1,2.457872536167006
LAU-0,0.8023248398329198
LAU-1,1.1886742827541257
LAU-2,0.9200159699892826
LEV-0,1.0921061857116328
LEV-1,1.3235353441184026
LEV-2,1.1686647321824102
LIO-0,1.225953067159062
LIO-1,1.993348932221463
LOS-0,0.9604042484643251
LOS-1,1.8447263082912728
LOV-0,2.248355696221093
LTA-0,1.0307296781869453
LTA-1,1.0911802778553819
LTA-2,1.0456676257742117
LTF-0,0.8498274578348738
LTF-1,1.263768553986362
LTJ-0,2.7871159910730086
LTJ-1,6.807647116471735
LTL-0,2.4650466584915076
LTL-1,4.292463462656398
LTL-2,17.12424660378063
LTN-0,0.6881457361959727
LTN-1,0.9648408911950394
Mar-00,0.7657913606967164
MAZ-0,0.8528209034878114
MAZ-1,1.167520053344459
MEI-0,1.3417514714868641
MEI-1,1.6654095597101604
MEL-0,1.0299281991046578
MEL-1,8.8170949585958
MEL-2,1.3905137259370501
MEP-0,0.48821182949936826
MEP-1,0.06099109206818405
MER-0,2.354002723453469
MER-1,2.935618477022252
MER-2,1517.1544803688157
MFI-0,1.6322799339576715
MFI-1,1.5194507838169382
MFI-2,1.3456017654190497
MFS-0,1.451246057122494
MFS-1,1.5677451430520528
MON-0,5.778529508721085
MON-1,14.08411258282176
MOR-0,1.3379328097977983
